,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
0ad80caa-3287-46a1-9b71-c61366233421.jpeg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,12,0,0,0,0,0,2,0,0,0
b6e7982e-04b7-4e0d-8348-9f7a52bb9f8d.jpeg,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,4,0,0,0
efadc9fa-6597-4b2a-a545-897f0d8354cd.jpeg,0,0,0,1,1,1,1,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1
b1b2af21-8f01-4ff9-b5e6-c779f4c56ec4.jpeg,0,0,0,1,0,1,2,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1
7fb4c640-96e2-4433-b897-9efb36721cb8.jpeg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,17,0,0,0,0,0,2,0,0,1
7116474a-47ed-4f7e-965b-571f48662a40.jpeg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1
78fd933c-f235-485a-b6dd-77c427ca23eb.jpeg,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,1
61eec867-e496-45c8-b32f-f6fa8301bfb1.jpeg,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,1
f3af87c1-a618-44d1-a41c-0fd14abbdd9e.jpeg,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,1
37d9de77-698a-48de-98f2-3a7ff7d7e3f1.jpeg,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,10,0,0,0,0,0,1,0,0,0
0940443c-8dbc-4c63-ac82-c8432bccf5b3.jpeg,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,4,0,0,1
be160512-6350-47fa-8417-93292a76c110.jpeg,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,3,0,0,0,0,0,1,0,0,1
eda95ddd-17ba-4a20-8978-93b08be17a0d.jpeg,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,1,0
b6937cdb-e4e2-41ef-ab92-f41505231c0b.jpeg,0,0,0,1,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1
8e35f917-fed7-44a6-b19e-8177b3f9ab89.jpeg,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,6,0,0,0,0,0,1,0,0,1
d60c4fd9-ecbe-4ce9-992e-962f98adbf15.jpeg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,4,0,0,1
