,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
661c23b4-ea14-4bc3-9032-65f80a4a2551.jpeg,0,0,17684,0,97761,20934,0,0,0,0,0,0,0,469264,123027,0,628,1192,0,0,0,0,0,0,19764,4,0,1254116,0,44320,172254,0,0,0,0,3745,0,0,0,0,0,0,0,0,305,24152,0,0,0,319,0,0,0,0,0,26492,0,0,0,0,0,1737,0,60030,21568,2359296
9a4edb00-d5f9-48d6-af6c-3686b7dfaec3.jpeg,0,0,12757,54843,0,6994,29049,0,0,484,0,0,0,287956,0,96092,0,52782,0,16198,0,126,0,0,11978,0,0,198304,0,3356,930900,0,0,0,0,8714,9548,0,0,0,0,0,0,0,5728,19639,0,0,0,3959,1843,0,0,0,0,35153,0,0,0,0,0,0,0,0,572893,2359296
9638fac6-f231-4377-833f-cac0d73b0c8d.jpeg,0,0,19392,3436,0,0,5104,0,0,1067,0,0,0,231103,0,12249,0,25324,0,161,192,0,0,0,9532,0,0,214424,0,41556,1093928,0,0,0,0,0,0,0,103,0,310,0,0,0,969,2748,0,15074,0,0,511,0,0,0,0,16292,0,0,0,0,0,42,0,0,665779,2359296
e4f7cfef-b2b1-4d22-ad54-36b7c41a3cce.jpeg,0,0,6786,19071,19,951,3182,0,0,0,0,37,0,8140,0,232765,0,27707,0,0,0,0,0,8,1750,0,0,53680,0,0,417450,0,0,6277,0,0,0,0,0,1015,0,0,0,0,538,6121,6,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786432
7ac8f0dd-5dee-4612-8c5c-0d1c953afffe.jpeg,0,0,479,1130,85745,309,0,0,0,0,0,0,0,601882,204591,0,0,34,0,0,0,0,0,0,32209,4,0,1748132,0,69509,199673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,6805,803,0,3993,202,0,0,0,0,14001,0,0,0,0,0,2481,0,0,172661,3145728
ce93d11b-f121-47c8-963a-e2a4205bf111.jpeg,0,0,566,0,0,0,0,0,0,0,0,0,0,85111,3506,0,0,21,0,1614,0,0,0,0,2732,0,0,496582,0,44997,27461,0,0,0,0,631,0,0,0,0,0,0,0,0,21,1015,0,158,0,0,195,0,0,0,0,179625,0,0,0,0,74533,11,0,0,2821,921600
902fcdc5-f18f-4f22-a7ce-c07ab5ac43ad.jpeg,0,0,6898,13557,0,0,0,0,0,0,0,0,112640,360282,0,35075,0,782713,0,3148,0,0,0,0,27188,0,0,1020707,0,12510,463271,0,11911,5297,15691,2567,0,0,0,0,0,0,0,0,2443,27734,0,776,6992,0,2899,11,6794,0,0,216432,0,0,0,0,0,0,0,0,0,3137536
49991373-88b8-42a1-b2c0-9be267c4bcb3.jpeg,0,0,24688,46902,0,14559,15084,7679,0,0,123176,0,0,522208,0,86297,0,727638,0,5616,0,0,0,0,27147,0,0,106463,0,0,426815,0,0,0,0,983,0,0,0,0,0,0,0,0,0,12078,0,5273,0,0,5510,0,160,0,0,195885,0,76,0,0,0,172,0,0,4887,2359296
ee663d37-ea57-44a5-921f-d635af82eb00.jpeg,0,0,32903,0,0,0,0,0,0,0,0,0,0,276085,0,94388,0,546250,0,3844,0,0,0,0,7863,0,0,0,0,0,0,0,0,0,0,41392,0,0,0,0,0,0,5857,0,686,4454,0,0,0,0,1559,894,0,0,0,75097,0,0,0,0,0,0,0,0,1268024,2359296
95a42782-17d7-4eca-9fc5-82bc5f80fb3f.jpeg,0,0,42826,0,0,0,0,31,759732,9602,0,0,0,166651,0,49695,0,18487,0,0,0,0,0,0,40854,0,0,1016325,0,0,613578,0,0,0,0,1490,0,493,0,0,0,3669,0,0,2184,60216,0,0,32003,24347,0,0,0,0,0,306040,0,0,0,0,0,63,0,0,0,3148286
