,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
0e429aae-b331-4e44-8c4c-6f1951b61b11.jpeg,0,0,34655,0,0,0,660,0,0,0,0,0,0,449954,0,0,222651,332309,0,1530,121,933,0,0,33781,0,0,139670,0,0,417540,0,0,0,0,16990,0,0,0,0,0,0,0,0,0,12079,0,0,0,0,14165,0,1071,0,650,241460,0,495,0,0,0,1140,0,0,151746,2073600
add61dfb-b35b-4d06-bd95-aa1dc1a525d8.jpeg,0,0,52990,15020,0,0,2278,0,0,0,0,0,0,308847,0,9845,0,443831,0,926,118,0,0,0,46972,0,0,149086,0,0,658086,0,1186,0,0,10697,0,0,0,0,0,0,0,0,608,8872,0,0,0,0,175,0,24,0,0,195302,0,465,0,0,0,0,0,0,168272,2073600
2d55201c-bbf0-41ed-aa70-6d916da68fc7.jpeg,0,0,695,7264,0,42234,9845,0,0,0,0,0,0,467494,0,4487,972480,145845,0,2180,0,76,0,0,5018,0,0,0,0,1796,46160,0,797,0,0,2857,0,0,0,0,0,0,0,0,0,11634,0,0,0,3301,38794,0,0,0,0,112813,0,1546,0,0,0,314,0,0,195970,2073600
420e2492-5bfe-473b-9309-764e6283c92c.jpeg,0,0,35947,64896,24026,10374,1231,0,0,3536,0,0,0,553591,0,18235,1484,555771,0,0,0,0,0,0,11318,0,0,0,0,6631,198642,0,2579,0,0,262744,1379,0,0,0,0,0,0,0,0,29373,24900,0,1184,0,19942,0,2,0,0,73027,0,0,0,0,0,0,0,0,172788,2073600
db0578a5-53a0-4d6c-87a5-7701587ed266.jpeg,0,0,2667,6277,0,267890,0,0,0,0,0,0,0,390009,28751,0,0,525983,0,0,0,0,0,0,35753,14171,0,602307,0,0,22889,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,3702,10388,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161350,2073600
73f5e433-3e99-4986-9fdf-662618b0d051.jpeg,0,0,73958,8881,0,1899,270641,100937,0,0,0,0,0,353143,0,5308,375672,151746,0,2306,0,0,0,0,51172,0,0,134228,0,0,153753,0,34482,0,0,171171,0,0,0,0,0,0,0,0,773,18456,0,0,0,0,575,0,0,0,0,27044,0,0,0,0,0,33,0,0,137422,2073600
45aaca8d-b0b6-4b7d-a8ce-b853e2a9e79a.jpeg,0,0,19871,257028,38824,0,26742,0,0,0,0,0,0,378907,0,59425,428678,254820,0,0,0,485,0,0,0,0,0,135988,0,462,102991,0,0,0,0,21949,0,0,0,0,0,0,0,0,1859,11453,0,0,0,0,529,0,0,0,2179,116621,0,431,0,0,0,20612,0,0,193746,2073600
20e7f4da-46f8-405b-8d6a-0dd2da6bc012.jpeg,0,0,59947,195190,0,6359,0,0,0,0,0,0,0,235430,0,0,213254,144347,0,0,0,0,0,0,58535,0,0,44842,0,118,655022,0,459,0,0,21170,0,1610,0,7029,0,0,0,0,1001,34068,0,0,0,0,5889,0,0,0,0,227069,0,0,0,0,0,0,0,0,162261,2073600
2dee15bb-3446-4dc1-a21c-8c15a4770e8e.jpeg,0,0,57454,1570,0,183,0,102472,0,0,0,0,0,358072,0,0,208792,336361,0,0,0,0,0,0,38841,0,0,388064,0,1705,240567,0,11399,0,0,92201,0,0,0,0,0,0,0,0,5407,21984,0,0,0,1888,21937,0,0,0,0,30406,0,0,0,0,0,0,0,0,154297,2073600
c7875a9f-c077-4617-a01f-95e63193c0a7.jpeg,0,0,91838,58,0,0,21908,0,0,0,0,0,0,382344,0,1341,0,459091,0,0,0,0,0,0,40538,0,0,11203,0,0,696799,0,17450,0,0,119635,0,0,0,0,0,0,0,0,0,7941,0,0,16,0,836,0,0,0,61,58822,0,0,0,156,0,0,0,0,163563,2073600
