,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
b7dcd348-47dd-467b-9941-2e6024ae95ff.jpeg,0,0,15510,10,0,2828,67082,0,0,0,0,0,0,171303,0,46460,0,665063,0,4393,0,0,0,0,235871,0,0,463699,0,0,30,0,0,0,0,866,0,0,0,0,0,0,0,0,0,598,0,0,0,0,422893,546,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152
80f1eed8-ca1b-4674-94fc-377da159c82a.jpeg,0,0,0,436,0,172130,291,0,0,0,0,0,0,510493,2210,13,1560,74860,0,0,0,0,0,0,21639,14474,0,949802,0,0,27112,0,0,0,0,77,0,0,0,0,0,0,0,0,0,4349,2485,1993,0,19172,407,0,0,0,0,71029,0,0,0,0,0,4911,0,0,194157,2073600
4bfbc34d-3f09-4c3c-b608-eb19b7062698.jpeg,0,0,3088,0,646,3342,0,0,0,0,0,0,0,503055,0,0,0,2538,0,0,0,0,0,0,0,0,0,896518,0,10689,20273,0,0,0,0,1937,0,0,0,0,0,0,0,0,793,21575,137,840,0,1,0,0,0,0,0,161526,0,456,0,27166,0,704716,0,0,0,2359296
9c6e3c12-702c-4043-aa47-3dbf927cbbd1.jpeg,0,0,56,643,0,0,108244,0,0,473,18918,0,0,31473,0,806203,0,244656,0,58679,0,0,0,0,13256,0,0,48654,0,0,361046,133,0,0,0,224299,0,0,0,0,0,0,0,6648,0,75670,0,0,0,0,0,242892,0,0,0,112436,0,821,0,0,0,0,0,0,0,2355200
f79d4ba8-ee6c-400f-b5c8-bd21a615d69d.jpeg,0,0,26115,57188,529,309,0,0,0,72,0,0,0,671578,4479,57010,317131,7950,0,95,0,0,0,0,58529,0,0,560499,0,42149,218388,0,0,0,0,0,0,0,0,1150,0,0,0,0,308,32922,0,0,6697,0,2222,0,0,0,0,8280,0,0,0,0,0,0,0,0,0,2073600
72220ee4-4175-4edc-9b70-4629d92b7eb3.jpeg,0,0,40,0,0,0,0,0,0,0,0,0,0,83422,0,474,0,1059427,0,0,0,0,0,0,4186,0,0,52898,206719,0,509830,0,387,0,0,10041,0,0,0,0,0,0,0,0,0,28235,0,0,42,0,7475,0,0,0,1026,62131,0,0,0,0,0,0,0,0,47267,2073600
4e87ae56-502c-4887-8923-dccb6f38300e.jpeg,0,0,7095,343,0,0,5486,0,0,0,0,0,0,374939,0,56589,0,5703,0,3082,0,0,0,8904,1002,0,0,1056572,0,0,360196,0,0,0,0,1271,0,0,0,14,0,0,0,0,874,24880,192,10213,10061,0,9968,0,0,0,0,69680,0,0,0,0,0,0,0,0,352232,2359296
861ebac6-ed2e-4865-ad7e-4f56ca13d418.jpeg,0,0,20153,321813,0,0,50732,0,0,0,0,0,0,206689,0,100487,0,354281,0,1562,0,0,0,0,0,0,0,944493,0,414,86935,0,0,0,0,113606,0,0,0,0,0,0,0,0,138,2615,0,102201,0,15,385,0,0,0,0,7041,0,0,0,0,0,0,0,2812,42924,2359296
d0200b44-110b-482c-8970-76b2ac46b4ac.jpeg,0,0,23638,3836,0,507,0,0,0,0,0,0,0,431093,0,66208,0,0,0,0,0,0,0,0,0,0,0,367609,0,11133,1032377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,958,65408,0,12,0,0,0,0,0,0,70643,2073600
5323245d-e8e7-4ab5-9e4f-11f089dbddd4.jpeg,0,0,10893,10179,0,0,0,0,0,1469,0,0,0,263407,0,29551,0,1206758,0,5795,0,1745,0,13666,5577,0,0,0,0,0,51459,0,0,0,0,73535,0,0,0,0,0,0,0,0,0,16030,0,0,0,0,5190,0,0,0,136611,520317,0,4376,0,0,0,0,0,0,2738,2359296
