,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
683a9f97-71c7-454d-85ed-13f400eb21a9.jpeg,0,0,47319,183266,0,0,170183,0,0,1182,0,0,0,126716,0,541848,0,806843,0,9284,0,0,0,0,0,0,0,55239,0,0,159804,0,13941,0,0,224859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,0,0,0,0,0,0,12065,6652,0,2359296
ad8aa4a6-f696-4cb4-8336-270553dd0816.jpeg,0,0,30631,32793,0,0,6101,0,0,0,30163,71427,0,268631,0,14303,0,803558,0,10344,0,0,0,0,17976,0,0,661747,0,0,415659,0,0,7627,0,0,0,914,0,12465,0,0,0,0,5537,18047,0,0,0,0,1270,0,0,0,0,102965,0,7646,0,0,0,0,0,0,1674500,4194304
19607bb9-93cc-4655-897b-675df0cf41f2.jpeg,0,0,87217,242645,0,0,210190,0,0,20,0,0,0,244563,0,229906,0,59260,0,46432,0,0,0,0,8085,0,0,228849,0,1602,882779,0,4575,0,0,50731,0,0,0,0,0,0,0,0,0,948,0,27522,3450,0,563,319,0,0,338,15570,0,0,0,11732,0,3,4,0,1993,2359296
9ba62940-f680-4c0b-962e-aa979a57bdcd.jpeg,0,0,0,0,0,147390,0,0,0,0,0,0,0,604126,0,0,6362,157871,0,31,0,0,0,0,38811,9461,0,661361,0,0,100911,0,0,0,0,8621,0,0,0,0,0,0,0,0,475,15741,2024,719,311,0,4051,0,0,0,0,3383,0,0,0,0,0,0,0,0,311951,2073600
81554359-912b-478c-ab86-b120e4ed22d6.jpeg,0,0,36537,163117,0,0,39723,0,0,0,0,0,0,834525,0,46406,53,19749,0,2579,0,0,0,0,3065,2081,5544,501809,0,0,602715,0,30621,0,0,21716,0,0,0,0,0,0,0,0,0,2663,0,22124,0,3,871,0,0,0,1194,557,0,91,0,20349,0,0,0,667,537,2359296
3acf653d-19e4-4bdc-8c09-bac99c88fb73.jpeg,0,0,7933,32612,0,0,23659,27,0,1,0,0,0,387072,0,53473,26550,732913,0,0,54,0,0,0,70729,0,0,1721490,0,0,10552,0,0,0,0,5635,0,0,0,0,0,0,0,0,5350,18346,0,0,0,2545,6770,0,2394,0,1182,34862,0,614,312,0,0,456,0,0,197,3145728
416b8d72-dd0e-4836-a78c-4ba492737cf9.jpeg,0,0,77383,73154,0,0,40042,0,0,0,0,0,0,927755,0,368264,0,236006,0,0,0,0,0,3265,4702,0,0,425872,0,9089,953929,0,0,0,0,637,0,0,0,5041,0,0,0,0,2240,2744,0,0,0,0,2063,0,0,0,0,13542,0,0,0,0,0,0,0,0,0,3145728
d2f973fe-dc53-41da-bbb1-98c53ed4bb4f.jpeg,0,0,3371,54,0,0,54,0,0,0,30076,28,0,457156,0,8633,0,183084,0,0,0,0,0,10,54283,0,0,75045,0,35700,906373,0,0,0,0,4219,0,0,0,0,0,0,0,0,238,1876,0,0,0,0,489,2721,0,0,0,310190,0,0,0,0,0,0,0,0,0,2073600
eb004eae-e4c6-4539-9e83-ea8030a0ed88.jpeg,0,0,8105,59955,0,17920,2149,0,0,0,0,0,0,643596,0,2643,23296,388537,0,4185,32,0,0,487706,58078,0,0,50402,0,0,182396,0,147,0,0,13188,0,0,0,6,0,0,0,0,23,13228,525,529,123,0,39005,0,116,0,983,60541,0,0,0,0,0,16186,0,0,0,2073600
6e5676a9-d0ee-4c37-9f15-b0616e4fc6e2.jpeg,0,0,0,0,0,0,0,0,0,0,5788,0,0,1004199,0,0,0,676353,0,0,0,0,0,0,4428,0,0,95302,0,0,14196,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4772,0,0,0,0,2047,0,0,0,0,552176,0,0,0,0,0,0,0,0,0,2359296
42923f3b-a9ca-4662-ab52-591a56d10d5d.jpeg,0,0,10388,24231,0,0,24691,0,0,929,0,0,0,333394,0,33932,0,179020,0,0,0,0,0,0,129,0,0,176357,0,10365,101597,0,0,0,382,8103,2147,0,0,0,0,195,0,0,693,4050,0,0,0,0,0,2205,5841,0,0,2951,0,0,0,0,0,0,0,0,0,921600
9715b17c-37bd-4e73-80f3-601736568428.jpeg,0,0,0,139,0,0,14330,1174330,0,0,0,0,0,30518,0,0,0,0,0,12632,88867,0,0,0,0,0,0,241274,0,387354,1042968,0,0,3925,8187,0,0,0,0,0,0,0,0,0,902,11130,0,0,0,0,27,64,129081,0,0,0,0,0,0,0,0,0,0,0,0,3145728
bcb24082-00dc-4e12-a3a2-32b31029fa80.jpeg,0,0,713,12236,0,230880,38099,0,0,0,0,0,19,628381,956,9378,278287,30,0,0,0,0,0,0,85625,0,0,341318,0,2667,225814,0,0,0,0,103,31145,0,0,0,0,0,0,0,0,1234,71,0,0,189,2321,0,0,0,0,165578,0,1386,0,0,0,3334,0,0,13836,2073600
acd8d3a0-6e1c-4371-93d8-0ea21ab84a6b.jpeg,0,0,92503,10829,0,0,9152,0,0,1229,35094,0,94,635877,0,419005,0,476283,0,12,0,0,0,0,12487,0,0,307117,0,29714,290526,0,0,0,0,12127,0,0,0,783,0,0,0,0,228,20383,0,0,838,0,7797,3488,0,0,0,1922,0,0,0,0,0,0,0,0,0,2367488
a1b04d6d-7949-485b-b79b-62fb3cb82d36.jpeg,0,0,6148,0,0,0,10243,0,0,0,24366,0,0,11088,0,106712,0,368538,0,403,0,0,0,0,1038,0,0,687270,0,0,34541,498591,0,0,0,0,0,0,0,52,0,4928,0,0,0,120,0,0,0,482,863,0,0,0,0,95425,0,2895,0,0,0,5130,0,0,238319,2097152
34c2e3fa-0dae-4464-9c25-94e282e4964d.jpeg,0,0,3226,0,0,0,0,0,0,90,0,0,0,451815,0,90316,0,1036762,0,0,0,0,0,0,0,0,0,0,0,0,141602,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,16987,0,498,0,2803,0,0,0,0,0,608773,0,0,0,0,0,0,0,0,3498,2359296
78ba3b66-9ac9-496b-9eb2-fa1f1ffcc320.jpeg,0,0,10616,3692,0,0,0,39561,0,6435,13662,0,0,347975,0,84846,0,1558185,0,4579,0,0,0,576363,38729,0,0,383337,0,0,7712,0,0,0,0,1075,0,0,0,0,0,0,0,0,1612,6635,0,0,0,5312,12634,95,0,0,3947,70785,0,0,0,0,0,1204,0,0,0,3178991
