,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
e0838a00-e054-468b-b6db-1c55b0832260.jpeg,0,0,11946,0,0,0,0,0,0,0,0,0,0,280224,0,21777,0,817890,0,0,0,0,0,0,0,0,33636,661166,0,0,20234,0,0,0,0,6464,0,0,0,0,0,0,0,0,105,0,0,18377,0,0,0,0,0,0,0,85125,0,0,0,0,0,0,0,2644,399708,2359296
469446e9-458b-41aa-ad5c-605d77082bef.jpeg,0,0,8247,611,0,33,3783,0,0,0,775,0,88,151852,0,9522,0,17940,0,0,0,0,0,96,12411,0,0,376123,0,21275,48715,0,0,0,0,14,0,0,0,0,0,0,0,0,292,3009,0,5132,2182,201,0,0,0,0,728,15376,0,0,0,0,0,0,0,0,243195,921600
0b4fa605-30f2-4027-ab59-874924166562.jpeg,0,0,16234,178279,0,48870,992,0,0,0,0,0,0,146288,0,35640,0,570721,0,11040,0,0,0,0,18336,0,0,53565,0,0,28874,0,0,0,0,7738,0,0,0,1466,0,0,0,0,847,5897,0,0,0,0,0,43,3172,0,0,0,0,0,0,0,0,491894,0,0,739400,2359296
9f018359-62f9-46f8-8e60-5b2d2fbb3e9e.jpeg,0,0,0,1,18,356820,0,0,0,0,0,0,0,273226,8425,0,1752,125894,1332,0,0,0,0,0,16496,0,0,1089998,0,0,4025,0,0,0,0,22336,0,0,0,0,0,0,0,0,1090,23675,1009,0,0,0,30660,0,0,0,0,15718,0,0,0,0,0,0,0,0,101125,2073600
0cc875d9-e614-4981-a642-5e5345f9377c.jpeg,0,0,7162,18877,0,0,12920,0,0,0,0,0,0,368744,0,26934,0,59198,0,6018,0,0,0,0,0,0,0,612578,0,62182,731093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,661,0,0,0,0,14127,16126,0,0,0,0,0,19,0,76,421779,2359296
2a41d402-abf5-4719-9267-ec0f8931da79.jpeg,0,0,4037,11686,0,0,4368,0,0,0,0,0,0,340477,0,8752,0,39644,0,0,0,0,0,27271,35722,0,0,554976,0,508,1080815,0,0,0,0,5639,0,0,0,173,0,895,0,0,0,9281,0,18786,15365,2192,6278,2889,3796,0,10764,39986,0,0,0,0,0,664,0,113,134219,2359296
9ea9c492-91ff-4834-963a-aa07a272d102.jpeg,0,0,22684,48162,0,0,34776,0,0,0,0,0,0,136633,0,31048,0,169232,0,0,0,0,0,0,0,0,0,700395,0,28011,474746,0,0,0,0,0,0,0,0,769,0,0,0,0,83,0,0,31726,0,0,0,0,0,0,0,62368,0,307,0,0,0,0,0,0,332660,2073600
58bb0745-1ca0-4ea9-9b7d-046ca869ed2f.jpeg,0,0,714,0,0,0,0,0,0,0,7999,0,0,114838,0,4910,0,908969,0,4182,0,0,0,160,3961,0,0,0,0,0,0,0,0,0,0,12997,0,0,0,0,0,0,0,0,6696,9506,0,0,0,0,2061,0,0,0,0,422346,0,0,0,0,0,0,0,123882,736075,2359296
d7b13609-3bd9-4aa1-a2ff-f85881ae1804.jpeg,0,0,1578,0,0,0,0,0,0,0,0,0,0,484751,0,2957,0,476146,0,1100,0,0,0,0,0,0,0,600419,0,0,663,0,0,0,0,93334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16526,393666,0,2460,0,0,0,0,0,0,0,2073600
b7aeae69-21ca-4b64-8f6e-3b618a3e1c9b.jpeg,0,0,21550,214994,0,0,758333,0,0,0,172351,0,0,67399,0,322,9,6691,3030,0,0,0,0,0,10978,0,0,1066344,0,0,37295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359296
b781bcdc-7ca0-4855-9a70-f7c6128fbb73.jpeg,0,0,1991,10850,0,0,0,0,0,0,0,0,305574,22952,0,454630,0,780394,0,3112,0,0,0,0,0,0,0,482161,0,3678,101195,0,12110,0,0,3722,13984,0,0,0,0,12032,0,0,2566,101873,0,9483,3853,4097,7033,0,0,0,185,7557,0,0,0,0,0,0,0,22456,0,2367488
7932283a-f273-49ad-828f-4f189f8f9122.jpeg,0,0,0,359376,0,0,0,0,0,0,0,61823,0,974,0,9091,0,1267089,0,15695,0,0,0,0,0,0,0,0,0,0,548123,0,0,0,0,84748,0,0,0,0,35,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347008
fa72e47c-7410-4871-be9b-2d4364bfe4cb.jpeg,0,0,10929,41388,0,0,0,0,0,0,10209,0,0,4693,0,508207,0,1105514,0,4135,0,0,0,0,638,0,0,36424,0,0,650425,0,1,0,0,84837,0,0,0,3449,0,0,0,0,0,88444,0,0,0,5700,0,42,2822,0,0,174285,0,412415,0,0,0,11,1160,0,0,3145728
ab873c55-7ba5-4526-89ce-f73979309d39.jpeg,0,0,5390,11332,0,0,9412,0,0,0,0,1760305,0,206,0,12667,0,275596,0,183785,0,0,0,0,18689,0,0,790188,0,0,48697,0,0,4349,0,0,0,0,0,0,0,23794,0,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145728
f14bab8e-88ab-4f9a-9f92-a0d91229f291.jpeg,0,0,1940,4,0,0,0,0,0,0,0,0,0,219075,0,13031,0,24683,0,2854,0,0,0,0,71,0,0,126425,0,3328,84629,0,0,946,0,0,0,0,0,0,0,0,0,0,0,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480000
2767f4ea-6b45-4916-8521-389b99415f86.jpeg,0,0,19663,0,670,36605,0,0,0,0,0,0,0,294916,0,96135,0,0,0,0,0,0,0,0,281,0,0,1035478,0,32715,771242,0,0,0,0,4741,0,0,0,0,0,0,0,0,404,11313,0,0,0,0,1565,0,0,0,0,0,0,0,0,0,0,0,0,6528,47040,2359296
8727e098-28c4-4497-b9ea-6810a45bbaf3.jpeg,0,0,5884,763,0,0,0,0,0,0,0,0,0,117243,0,112900,0,12389,0,4276,0,0,0,0,4238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15170,0,0,0,0,0,0,0,0,0,0,0,0,926428,94655,0,0,0,0,0,0,0,0,1065350,2359296
1271e1cd-f662-4a2c-8293-ea7691c8e68c.jpeg,0,0,0,0,0,54583,6048,0,0,0,0,0,0,304537,0,0,23232,3275,0,0,0,0,0,0,7662,0,0,354652,0,32905,83765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6941,0,0,0,0,571,0,0,0,0,34586,0,0,0,0,0,8843,0,0,0,921600
a83a6290-7613-453b-8480-186ae5c2ef19.jpeg,0,0,23160,12934,0,10664,19204,25335,0,0,0,0,0,442728,0,66920,0,587644,0,0,0,0,0,0,35067,0,179048,41835,0,0,867786,0,0,0,0,10041,0,0,0,0,0,0,0,0,0,7250,0,0,2156,0,5184,16527,0,0,787,5013,0,0,0,0,0,13,0,0,0,2359296
59badfb5-47c2-4ce0-ae70-9cc03a2aa75c.jpeg,0,0,90482,173057,0,0,38908,0,0,3241,0,0,0,553902,0,202651,0,465449,0,0,0,0,0,0,82,0,0,209246,0,0,413471,0,0,0,0,0,0,0,0,6,0,0,0,0,3738,40661,0,1613,0,0,626,0,0,0,0,1690,0,0,0,0,0,0,0,0,160473,2359296
715f777e-a153-47e5-956a-df5b0be58fb2.jpeg,0,0,14673,0,0,0,81890,0,0,0,6715,0,0,49765,0,223187,0,24862,0,146537,0,2137,0,0,15,0,0,228044,0,35019,1155259,0,0,0,0,0,0,0,0,0,0,0,0,0,345,1886,0,0,0,0,0,0,0,0,0,125427,0,1391,0,0,0,0,0,0,0,2097152
ef4d1c83-1bd5-47e9-9c32-116b53ddd5e8.jpeg,0,0,47968,39227,141951,17340,1271,0,0,0,12131,0,0,301865,0,31836,0,186878,0,2151,0,0,0,0,2029,0,0,1384298,0,2336,73213,0,0,0,0,1001,0,0,0,0,0,0,0,0,2021,21400,20078,88,0,0,3860,0,0,0,3463,57111,0,477,0,2855,25,1623,0,0,800,2359296
6f7dc245-0254-4f99-9b53-6baaf5166f17.jpeg,0,0,651,548983,0,0,154621,0,0,0,0,0,0,17058,0,373429,0,86518,0,80,0,0,0,0,0,0,0,461404,0,0,557950,0,0,0,0,118990,0,0,0,0,0,0,0,0,0,21462,0,14332,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3811,0,2359296
ca4abde6-fd96-4a03-9dfb-fb04502fd7be.jpeg,0,0,1803,205523,0,31473,3010,0,0,5449,6900,0,0,682489,0,36482,0,115956,0,0,0,0,0,1270,8976,0,0,238179,0,6071,696711,0,66,0,0,2538,0,0,0,0,0,0,0,0,0,2785,0,0,899,0,0,0,0,0,85,18500,0,0,0,7919,0,516,0,0,0,2073600
533f7a98-a1a5-425d-adb2-3a43b248d19a.jpeg,0,0,8855,0,0,0,0,0,0,76,0,0,0,156469,0,250970,0,1818428,0,0,0,0,0,0,7396,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,0,0,0,0,4843,5562,0,0,2168,0,1353,0,0,0,0,6636,0,0,0,0,0,0,0,0,94815,2359296
