,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
6566ffb8-b639-4790-8a56-1ec590f1492f.jpeg,0,0,11305,0,0,0,41477,0,0,0,0,0,0,322232,0,37337,0,645851,0,0,0,0,0,0,7064,0,0,17890,6322,239,182170,0,0,0,0,2089,0,0,0,0,0,0,0,0,2637,7354,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,248919,0,0,826379,2359296
3377d7a4-7954-41bb-9971-7fe5430bd4fb.jpeg,0,0,33661,1034,0,0,0,0,0,0,0,0,0,138746,0,0,0,16284,0,0,0,0,0,0,0,0,0,0,0,3112,883115,179,0,0,0,0,0,0,0,0,0,0,0,0,0,3869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080000
6add34f7-afc0-40a6-9991-35d3b6353ff1.jpeg,0,0,1068,0,10,77802,2440,0,0,0,0,0,0,487875,0,1199,443817,16285,0,0,0,0,0,0,35729,5809,0,66998,0,1,59618,0,0,0,0,305,0,0,0,0,0,0,0,0,0,1213,0,887,0,0,22418,0,0,0,0,55862,0,0,0,0,0,8395,0,0,785869,2073600
2952cfea-155d-4d4f-a040-acc49e920a4f.jpeg,0,0,0,0,0,84795,0,0,0,0,0,0,0,1013274,0,0,0,0,0,0,0,0,0,0,32163,2003,0,397840,0,0,497602,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,0,0,0,0,19619,0,0,0,0,14917,0,0,0,6929,0,378,0,0,969,2073600
76b569e7-3037-41a7-8d0b-a66e03749385.jpeg,0,0,74581,0,0,0,29236,0,0,0,17415,0,0,789436,0,71706,0,591277,0,0,0,9356,0,0,35607,0,0,545906,0,0,278450,0,0,0,0,406923,0,0,0,0,0,0,0,0,866,8354,0,0,18,0,1353,13120,0,0,30674,149514,0,91936,0,0,0,0,0,0,0,3145728
f351e2bb-6354-4df3-b59b-1fd0fae5d441.jpeg,0,0,4406,0,0,0,14143,0,0,0,0,0,0,389229,0,18676,0,409451,0,0,0,0,0,2592,17157,0,0,400965,32061,0,110119,0,0,0,0,14037,0,0,0,0,0,0,0,0,5032,28856,0,0,1054,0,3646,0,0,0,15231,5403,0,0,0,7873,0,61756,0,0,817609,2359296
5a54a299-98a8-4863-bd22-8a605612646a.jpeg,0,0,31591,41046,0,0,81129,0,0,3535,0,0,0,473336,0,102773,0,434016,0,0,0,6941,0,0,54900,0,0,1608203,0,601,173727,0,7706,0,0,69207,0,0,0,0,0,0,0,0,867,4569,0,26912,0,0,0,0,0,0,0,21255,0,3414,0,0,0,0,0,0,0,3145728
4acf530d-0dfc-4463-8caf-7c85ba4f30e6.jpeg,0,0,7627,1147947,0,0,12638,0,0,0,0,0,0,557755,0,100016,0,751298,0,0,0,0,0,0,13879,0,0,395591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,14,0,15391,0,0,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,140191,3145728
894c24fc-ecc0-4fdb-a64f-8b5b327b88a4.jpeg,0,0,16668,16482,0,0,2732,15498,0,345,517,0,0,872789,0,56837,0,152841,0,2200,0,0,0,2061,31864,0,0,469990,0,46822,462036,0,941,0,0,1237,0,0,0,0,0,1369,0,0,269,28563,0,924,5457,0,34912,0,20186,0,1238,14962,0,0,0,0,0,231,0,0,99325,2359296
5042851a-af7a-4ef5-a22f-8505f7a51606.jpeg,0,0,23972,234,0,0,0,0,0,0,0,0,0,139753,0,204779,0,1752338,0,2224,6,0,0,260,258,0,0,559847,0,0,12456,0,220,0,0,19845,0,0,0,0,0,0,0,0,2458,37757,0,0,0,5,104768,0,0,0,0,284533,0,15,0,0,0,0,0,0,0,3145728
