,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
d19e793f-fbfb-4506-9699-149a8243ab32.jpeg,0,0,24716,0,69808,155453,6995,0,0,0,0,0,0,314254,0,0,217265,763840,0,0,0,0,0,0,136321,0,0,2641405,0,99833,385197,0,0,0,0,1609,0,0,0,0,0,0,0,0,891,14564,0,225,0,163,8740,0,0,0,0,3068,0,0,0,0,0,0,0,0,173765,5018112
a7902c06-d974-45a5-9a85-7da92d5e0175.jpeg,0,0,84212,372303,0,31090,3230,0,0,149,0,0,0,527556,0,4611,0,1192557,0,6349,0,0,0,0,19503,0,0,1082323,0,51,1282039,0,2650,0,0,105939,270,0,0,0,0,0,0,0,0,23260,0,0,0,0,915,0,0,0,0,20765,0,0,0,1465,0,0,0,0,256875,5018112
13651c02-615d-4339-8dce-7b3828007d57.jpeg,0,0,77434,9895,8,123084,0,0,0,0,0,0,0,354247,0,0,142431,118228,0,1475,0,0,0,159,39900,2918,0,2473936,0,0,1393567,0,0,0,0,679,0,0,0,0,0,0,0,0,631,12212,5957,0,0,0,26815,0,0,0,1233,1220,0,0,0,0,0,3570,0,0,228513,5018112
857b94b9-d676-4611-a12d-28a7e07e09e6.jpeg,0,0,93750,93241,54304,340499,300843,0,0,0,0,0,0,250790,0,155977,26415,541545,0,0,0,1716,0,0,36877,0,0,1562882,0,0,1296111,0,0,0,0,2653,0,0,0,0,0,0,0,0,854,21249,0,0,0,0,5541,0,0,0,4640,1971,0,272,0,0,0,5056,0,0,220926,5018112
0a8b803b-8d1b-4f55-a629-f77a5f381a1a.jpeg,0,0,79926,5006,0,8827,1082629,0,0,0,0,0,0,160214,0,133900,243513,1176991,17074,0,0,0,0,0,264192,0,0,1150540,0,0,393645,0,0,0,0,42091,0,0,0,0,0,0,0,0,73,12054,0,239,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,247170,5018112
d42b3f6a-d3cd-4795-8e9d-19880980736e.jpeg,0,0,59051,2612,0,34174,9244,0,0,0,0,0,0,562567,0,33989,61929,1949586,0,782,0,2979,0,0,46280,0,0,1463999,0,0,409397,0,0,0,0,21027,0,0,0,0,0,0,0,0,5855,31524,2722,0,896,28312,44538,0,0,0,2167,0,0,11187,0,1073,0,0,13,0,232209,5018112
fb6a989e-e838-4b81-8737-d9bc257d9bf3.jpeg,0,0,18729,91935,0,561446,742383,0,0,0,0,0,0,195078,0,94422,12813,1474631,0,0,13810,5978,0,0,11133,0,0,588053,0,0,934894,0,0,0,0,14940,0,0,0,0,0,0,0,0,3465,10007,0,0,0,0,5193,0,1542,0,0,0,0,4468,0,903,0,0,0,0,232289,5018112
01cc1700-3020-4006-b2c7-031cf041430b.jpeg,0,0,56779,455804,36,184141,0,13,0,0,0,0,0,302258,0,9609,338683,291585,0,0,0,0,0,0,38510,446,0,2774066,0,28275,245844,0,3,0,0,3087,0,0,0,0,0,0,0,0,6078,60307,0,83,0,0,0,0,0,0,5683,7875,0,0,0,0,0,2543,0,0,206404,5018112
8033145f-f881-4b2d-b157-c8fedcf0a851.jpeg,0,0,83494,57248,0,0,39683,0,0,12588,0,0,0,142180,0,55738,21807,365165,0,0,21,2664,0,0,272077,0,0,1067688,0,23339,2597164,0,0,0,0,2393,980,0,0,0,0,0,0,0,3466,19185,0,108,1939,5267,4422,0,0,0,0,6454,0,1399,0,0,0,0,0,0,231643,5018112
c8f7584c-812c-4029-92eb-226e46747d32.jpeg,0,0,60041,43702,0,39878,293073,0,0,99,0,0,0,494667,0,32897,0,1299083,0,0,0,0,0,0,20671,0,0,1107395,0,0,1254814,0,2189,0,0,69280,0,0,0,0,0,505,0,0,1214,32318,0,0,0,0,396,0,0,0,4362,9583,0,0,0,0,0,0,0,0,251945,5018112
