,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
6b78e6ac-2982-486a-bd67-a052538280c6.jpeg,0,0,10535,0,0,0,0,0,0,0,0,0,0,50705,0,0,0,222612,0,0,0,0,0,0,5624,0,0,85365,0,0,162674,0,0,0,0,678,0,0,0,0,0,0,0,0,127,8048,0,0,0,0,0,0,0,0,161492,117217,0,0,0,0,0,0,0,0,96523,921600
aec25e21-a62c-472c-84a7-6071c8ed3b83.jpeg,0,0,932,0,0,0,0,0,0,0,0,0,0,55755,0,0,2034,147295,0,0,0,548,0,0,2720,0,0,120771,0,0,30632,0,4343,0,0,1195,0,0,0,0,0,0,0,0,26,2418,24,0,0,117,0,0,0,0,350990,108479,0,296,0,0,0,411,0,0,92614,921600
e456f384-7a85-4197-ae1c-fe7e4a6a0427.jpeg,0,0,17709,0,0,45,9,0,0,114,0,0,0,114740,0,2654,0,324046,0,841,0,0,0,3221,14530,3113,0,73945,0,11415,239366,0,2159,0,0,2251,0,0,0,0,0,0,0,0,207,9307,0,0,1238,60,955,0,0,0,0,10201,0,0,0,0,0,400,0,0,89074,921600
49a0055b-6fc7-4add-a14b-6de9e613bb3f.jpeg,0,0,23260,20556,0,0,33306,0,0,0,0,0,0,96869,0,4218,0,216296,0,52,0,0,0,0,11220,0,0,89819,0,0,306791,0,594,0,0,15758,0,0,0,14,0,0,0,0,201,1860,0,0,0,0,0,0,22,0,182,5661,0,0,0,0,0,1042,0,0,93879,921600
88538b90-ad80-4979-9a9e-66cadeb78fe0.jpeg,0,0,23144,0,0,282,0,0,0,0,0,0,0,103325,0,11571,0,435402,0,4385,1092,0,0,1194,11515,0,0,39910,0,0,165105,0,0,0,0,24757,14,0,0,0,0,0,0,0,579,3555,0,0,63,0,0,4,1935,0,3483,3278,0,1563,0,0,0,0,0,0,85444,921600
6ce656da-5780-43a5-ae7b-09f7b95f543a.jpeg,0,0,3686,3725,0,0,320,167,0,0,0,0,0,137994,0,3876,0,113712,0,0,0,703,0,873,31408,0,0,711,0,0,295574,0,0,0,0,2513,0,0,0,0,0,0,0,0,0,1113,0,0,154,0,0,0,0,0,94,11531,0,1932,0,0,0,208284,0,0,103230,921600
d70380f8-4f6c-44a5-b70f-608323cf4239.jpeg,0,0,23299,56032,0,498,61296,0,0,0,0,0,0,90579,0,650,0,259068,0,527,18,879,0,0,14865,0,0,9462,0,0,188228,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,11444,0,0,0,31,0,0,0,0,0,19203,0,1435,0,0,0,86766,0,0,94396,921600
5fbeb111-53ab-4d13-bb6e-8ee1bd3cc129.jpeg,0,0,7730,413,0,0,0,0,0,2384,0,0,0,99667,0,36160,154100,266239,0,13822,0,3531,0,11361,858,0,0,51454,0,0,26810,0,236,0,0,54440,1942,0,0,0,0,0,0,0,239,27745,0,0,1016,0,611,0,0,0,0,89565,0,1181,0,0,0,5,0,0,70091,921600
344b5fd2-8e99-4dc2-8d7d-d68945ada44f.jpeg,0,0,9468,713,0,3019,2746,2482,0,210,0,0,0,136101,0,381,24571,176775,0,0,0,1297,0,0,8312,0,0,81808,0,1049,371970,0,113,0,0,20,83,0,0,0,0,0,0,0,218,4940,48,0,360,0,8858,0,0,0,0,22998,0,431,0,0,0,0,0,0,62629,921600
04e8790c-90e0-4a8c-b15c-7e9a66dab8b9.jpeg,0,0,10491,100150,0,836,0,14401,0,0,0,0,0,116277,0,7129,33856,167117,0,3591,9851,472,0,0,8845,0,0,90693,0,0,261689,0,2,0,0,8739,0,0,0,0,0,0,0,0,168,1621,0,0,0,3,0,0,2747,0,0,17834,0,1170,0,23,0,3882,0,0,60013,921600
