,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
8e366d2e-e6f1-46c1-b539-f748feb10817.jpeg,0,0,20988,0,0,0,1769,0,0,0,0,0,0,345263,0,1648,0,102673,0,5003,631,724,0,0,0,0,0,132333,0,16661,419681,0,0,0,0,20348,0,0,0,0,0,0,0,0,687,34847,0,6176,0,0,0,0,121,0,0,1857,0,1534,0,4496,0,0,0,0,0,1117440
fe5a2fd5-b965-49bf-8c77-1aae1525f3cc.jpeg,0,0,21929,17597,1827,0,21447,0,0,197,3723,0,0,373318,0,24986,4650,153731,0,6399,0,7181,0,0,15811,0,0,88862,0,5291,305257,0,2876,0,0,15119,0,0,0,0,0,0,0,0,429,17966,0,52,0,56,6897,0,2903,0,0,11845,0,4506,0,1054,0,1531,0,0,0,1117440
522a8903-c674-40a7-8110-f29668528d7c.jpeg,0,0,34785,128208,0,2462,2020,0,0,0,0,0,0,525186,0,31018,0,60545,0,472,0,94817,0,0,22252,0,0,230818,0,0,821153,0,0,0,0,744,0,0,0,0,0,0,0,0,0,9879,0,53478,0,469,0,0,2200,0,97,84714,0,106114,0,0,0,409,0,0,0,2211840
c887e1e4-023d-4b99-9edd-c1568ac00a06.jpeg,0,0,22120,42819,0,0,38210,0,21028,7824,0,0,0,166129,0,27834,0,69794,0,18,0,38509,0,22,41044,0,7003,24591,0,1447,464301,0,40966,0,0,5152,0,0,0,0,0,0,0,0,0,22249,0,13524,0,0,3303,0,0,0,0,1808,0,57745,0,0,0,0,0,0,0,1117440
7e7ad7fa-6c17-42a4-b26d-8ae9e288a94a.jpeg,0,0,14420,18007,0,2648,949,0,0,15794,0,0,0,304071,0,45799,0,154691,0,5416,0,736,0,2,14557,0,0,48603,0,0,435668,0,0,1819,0,18,19,0,0,1184,0,1200,0,0,0,4256,0,0,0,0,3473,0,0,0,0,44110,0,0,0,0,0,0,0,0,0,1117440
184d6c0b-36d2-44e6-8c1d-65654bdb1be9.jpeg,0,0,25535,39865,0,107,6605,0,67,1286,0,0,0,348095,0,3837,0,10065,0,0,0,3166,0,10597,20611,0,0,77243,0,0,527657,0,494,0,0,2319,0,0,0,0,0,0,0,0,0,4070,83,5708,0,214,4364,0,0,0,0,22634,0,2818,0,0,0,0,0,0,0,1117440
eba0ff93-754c-49d0-8cff-b03c1ba857ba.jpeg,0,0,2856,48025,0,0,9061,0,0,304,0,0,0,180262,0,87923,0,94990,0,591,0,32755,0,0,6717,0,0,21998,0,0,460463,0,14201,0,0,258,1038,0,0,13,0,0,0,0,0,19436,0,10560,95,447,518,0,117,0,0,20961,0,60574,0,43277,0,0,0,0,0,1117440
7f044fb0-b8a4-4572-8440-83e1d5335f8b.jpeg,0,0,13529,3559,0,0,165242,0,0,0,0,0,0,272822,0,18173,0,97771,0,993,0,0,0,0,1254,0,0,9735,0,60217,458441,0,0,0,0,1417,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0,0,0,0,0,13351,0,0,0,0,0,0,0,0,0,1117440
86861e4f-9c92-433e-8303-f7a75249caef.jpeg,0,0,14328,13839,0,395,21170,0,0,0,0,0,0,326017,0,58060,0,318036,0,34928,312,26751,0,0,29770,0,0,391093,0,1007,518622,0,77565,0,0,85434,0,0,0,0,0,0,0,0,0,12302,0,87504,0,0,17363,0,3403,0,0,12777,0,22924,0,0,0,0,0,0,0,2073600
c003cf05-98b2-4ba7-8bcd-a956f4e261fb.jpeg,0,0,32580,131489,0,0,9988,0,0,4466,0,0,0,227321,0,20567,0,22471,0,2192,1206,296,0,0,4032,0,0,0,0,26919,603371,0,0,0,0,10127,0,0,0,0,0,0,0,0,0,3413,0,1708,0,0,0,0,631,0,0,12859,0,1804,0,0,0,0,0,0,0,1117440
8968a91e-707f-4be7-8258-039632dce4e6.jpeg,0,0,9316,29395,0,653,5514,0,0,0,0,0,0,341234,0,5936,0,10709,0,12559,18848,136,0,13,27484,0,0,76085,0,0,503624,0,546,0,0,14629,0,0,0,0,0,0,0,0,1194,8672,0,0,0,1129,2178,0,4359,0,0,42848,0,379,0,0,0,0,0,0,0,1117440
dc601e03-a356-4986-bbfa-189d9c1b8f64.jpeg,0,0,33702,30574,0,5693,27338,38054,0,0,0,0,0,224333,0,8797,193061,20863,0,0,134,3798,0,0,19267,0,0,114119,0,0,393089,0,0,0,0,1075,0,0,0,0,0,0,0,0,232,1462,0,0,49,0,0,0,0,0,18,486,0,1258,0,0,0,38,0,0,0,1117440
ec640004-4642-460c-bb2f-beccecc0816c.jpeg,0,0,0,0,0,0,81,0,0,0,0,0,0,206608,0,162,0,48320,0,15036,0,394,0,0,0,0,0,54794,0,0,473675,0,0,0,0,11844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6633,291561,0,3231,0,0,0,5101,0,0,0,1117440
92c552c2-6dbe-418e-8859-687a334098f4.jpeg,0,0,34024,71882,0,0,69321,0,0,1321,0,0,0,208492,0,38563,0,58820,0,1814,367,12374,0,0,2679,0,0,58,0,825,569332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17694,0,0,0,0,0,7335,0,0,0,8347,0,14192,0,0,0,0,0,0,0,1117440
d617ccec-1db8-41e4-b1c7-d3b091bc27f3.jpeg,0,0,24435,96036,0,0,32131,0,0,29619,0,0,0,213804,0,102344,0,75295,0,15892,0,2419,0,0,6606,0,0,98124,0,105,270608,0,4622,0,0,33576,0,0,0,0,0,0,0,0,186,9191,0,15854,0,15624,8796,6738,0,0,0,22505,0,16439,0,0,0,16491,0,0,0,1117440
ad53d4a4-94bc-4803-9aaf-4cff059b3821.jpeg,0,0,18951,4334,0,556,3740,0,0,1107,0,0,0,306356,0,8762,3421,178307,0,5030,0,35034,0,0,532,0,0,25332,0,5443,425006,0,0,0,0,7843,0,0,0,0,0,0,0,0,176,12215,0,6094,0,102,7329,0,67,0,0,2459,0,57836,0,892,0,516,0,0,0,1117440
7c9f4ff1-b692-4cb2-98cd-5c236723b996.jpeg,0,0,24424,41125,0,0,58574,0,0,732,0,0,0,220845,0,21864,0,119517,0,4485,225,29881,0,0,4539,0,0,60989,0,19550,308637,0,0,0,0,830,1523,0,0,4096,0,0,0,0,0,32342,3470,106775,2430,3614,9436,0,72,0,0,157,0,37308,0,0,0,0,0,0,0,1117440
86a7c360-200e-45f2-a9aa-4fc34838ab0c.jpeg,0,0,37121,18807,0,4096,1922,0,0,0,0,0,0,259969,0,81043,189729,4558,0,1571,17,994,0,0,13128,0,0,60271,0,0,369743,0,0,0,0,15516,1377,0,0,0,0,0,0,0,59,0,0,0,0,0,1485,0,87,0,41,55659,0,228,0,0,0,19,0,0,0,1117440
b4a3bae3-4981-4978-839f-b51d5ea9e89a.jpeg,0,0,846,2843,0,59,31239,0,0,0,0,0,0,249388,0,2308,23153,7984,0,3887,0,1027,0,0,12592,0,0,81802,0,0,386981,0,630,0,0,10221,0,0,0,0,0,0,0,0,52,20155,0,27,0,0,10106,0,363,0,0,261594,0,8538,0,0,0,1645,0,0,0,1117440
132a81c0-4dc4-4377-8634-d56f073e6169.jpeg,0,0,15782,146,0,4757,111728,0,0,0,0,0,0,315875,0,11541,0,16320,0,15745,0,3053,0,0,9387,0,0,131694,0,0,389993,0,0,0,0,702,0,0,0,0,0,0,0,0,557,14186,0,46,185,0,377,2492,0,0,0,70590,0,2075,0,0,0,209,0,0,0,1117440
f573f5d2-7163-4327-a662-0479aa9f75b9.jpeg,0,0,43264,905,0,0,125087,0,0,0,0,0,0,302891,0,50281,6171,154567,0,96,0,576,0,0,488,0,0,40885,0,7125,355752,2020,0,0,0,419,334,0,0,0,0,0,0,0,4,18432,0,0,0,0,6466,0,0,0,0,1034,0,643,0,0,0,0,0,0,0,1117440
e0253438-216f-48ce-95d8-250c7f5aed65.jpeg,0,0,16074,69564,0,0,214,0,0,3162,0,0,0,305679,0,15688,0,78091,0,4056,0,2554,0,0,19234,0,11478,29688,0,232,507908,0,27,0,0,0,0,0,0,1070,0,0,0,0,0,5290,0,0,0,0,0,660,21190,0,381,22385,0,2815,0,0,0,0,0,0,0,1117440
73db63af-5402-43d5-8e7e-6b6cdfe3b4c6.jpeg,0,0,25051,123677,2377,497,703,0,0,0,0,0,0,334010,0,4008,113,68003,0,44,0,8792,0,7484,24922,0,0,176893,0,1457,266418,0,28,0,0,9845,35,0,0,2583,0,0,0,0,593,28105,0,0,1682,11969,2187,0,0,0,0,1769,0,14195,0,0,0,0,0,0,0,1117440
1df02ddb-2f5a-4c6c-a5ff-a98eda171fea.jpeg,0,0,39232,10458,0,0,24357,0,0,7862,0,0,0,215598,0,54479,0,200790,0,845,0,0,0,0,8365,0,0,8117,0,206,507726,0,0,0,0,7512,689,0,0,0,401,0,0,0,0,6101,0,8958,0,0,0,0,0,0,0,15744,0,0,0,0,0,0,0,0,0,1117440
5c790d89-57bf-4f10-b79d-ff7fc3f4f1a5.jpeg,0,0,14461,8019,0,0,4093,0,0,0,0,0,0,376766,0,15616,0,239019,0,3228,887,0,0,1761,2313,0,0,70076,0,8960,301201,0,916,0,0,10277,677,0,0,0,0,925,2258,28,1819,19494,0,186,0,2431,4916,182,0,0,12287,8761,0,0,0,0,0,5883,0,0,0,1117440
fa1a03e6-e3cf-471a-a1f5-dc63490a8a48.jpeg,0,0,5443,9260,0,0,4604,0,0,0,0,0,0,309398,0,10081,0,106125,0,13245,61,8669,1245,0,2695,0,0,87675,0,0,332983,0,146,0,0,78921,0,0,0,0,0,0,0,0,0,16625,0,0,0,0,6399,5391,0,0,1260,33832,0,73240,0,3711,0,0,6431,0,0,1117440
