,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
e641a438-49f1-453d-bb37-eb790be0b8a0.jpeg,0,0,13092,0,0,0,0,0,0,0,0,0,0,35321,0,2643,0,544409,3764,1877,0,0,0,0,1952,0,0,47,0,0,0,0,0,0,0,64869,0,0,0,0,0,0,0,0,878,1689,0,0,0,0,1175,0,0,0,0,112010,0,0,0,0,0,0,0,0,137874,921600
2d2edb31-b0e3-45ba-8f98-9ca4b5da0c0a.jpeg,0,0,5,37136,0,140337,0,0,0,0,0,0,0,67946,0,0,2211,264775,0,0,0,0,0,0,3758,0,0,748,0,0,206968,0,0,0,0,18957,0,0,0,0,0,0,0,0,1193,7066,0,0,49,0,2810,0,0,0,15766,23119,0,0,0,0,0,23,0,0,128733,921600
54086f8d-5dfd-4d7b-806e-43ad04966bd0.jpeg,0,0,20092,1728,0,0,0,33,0,0,0,0,0,79632,0,52330,0,586853,1182,2709,0,0,0,0,9286,0,0,12,0,0,28143,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3248,0,0,536,0,0,0,30,0,0,6926,0,0,0,0,0,1976,0,0,126872,921600
c7b8ab38-7dc1-4fa0-8d1b-f2ef562a9987.jpeg,0,0,0,54172,0,117001,40,0,0,0,0,0,0,63125,0,0,31045,292106,0,0,0,0,0,0,4869,0,0,49224,0,0,134896,0,0,0,0,24,0,0,0,0,0,0,0,0,2547,1059,0,0,0,0,6336,0,0,0,5708,29817,0,0,0,0,0,0,0,0,129631,921600
b1052060-da90-4f10-9f66-35a85a43c0c3.jpeg,0,0,1454,84,0,0,0,0,0,0,0,0,0,42692,0,4422,106023,235273,0,8589,0,17083,0,0,0,0,0,114607,0,0,14778,0,0,0,0,25992,0,0,0,0,0,0,0,0,1580,8801,0,0,0,0,4848,0,0,0,283,238378,0,8054,0,0,0,0,0,0,88659,921600
b8f246e3-ca32-4adb-9efc-e1b97ed94401.jpeg,0,0,20122,0,0,2577,0,0,0,0,0,0,0,45609,0,0,70359,205113,0,2,0,10719,0,0,2567,0,0,80750,0,0,220959,0,0,0,0,5034,0,0,0,0,0,0,0,0,599,10575,0,0,0,0,3271,0,16,0,0,80413,0,4990,0,0,0,5028,0,0,152897,921600
49fde0a3-d304-4ad0-8f77-66141522ed15.jpeg,0,0,332,0,0,0,0,0,0,0,0,0,0,111078,0,74,0,384239,0,20,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,70545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3482,0,0,0,152115,134736,0,0,0,0,0,0,0,0,64345,921600
629c5f11-7841-44ba-b201-845069791e01.jpeg,0,0,5334,3,0,0,0,0,0,0,0,0,0,34177,0,24437,64,381450,0,1952,0,0,0,0,5315,0,0,0,0,0,47287,0,328,0,0,125188,0,0,0,0,0,0,0,0,137,15990,0,0,2057,1535,19629,1586,0,0,0,107536,0,0,0,0,0,0,0,0,147595,921600
d76c7829-c003-4253-9e56-197c6e0cc615.jpeg,0,0,784,0,0,0,0,0,0,0,0,0,0,164451,0,1746,0,529472,0,7675,274,0,0,0,23,0,0,0,0,0,0,0,0,0,0,74776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,0,5367,0,0,134890,0,530,0,0,0,0,0,0,604,921600
361be0f2-fe78-4af9-b637-6c8dbf636968.jpeg,0,0,5975,273,0,30,0,0,0,0,0,0,0,93442,0,2401,211191,175935,0,2909,2569,341,0,235,10206,0,0,71498,0,0,29907,0,0,0,0,44577,0,0,128,0,0,0,0,0,1040,0,0,0,238,0,241,0,4636,0,0,136744,0,0,0,0,0,0,0,0,127084,921600
78a223f6-0b34-4d4f-ae43-22bf1cb280f9.jpeg,0,0,6471,0,0,17997,0,0,0,0,0,0,0,40589,0,0,1,287761,173124,0,0,0,0,0,4730,0,0,0,0,0,117773,0,0,0,0,6633,0,0,0,0,0,0,0,0,5,7362,0,0,0,480,6270,0,0,0,25335,91855,0,0,0,0,0,0,0,0,135214,921600
f275e363-e5c1-4401-8552-64b49bc63c34.jpeg,0,0,4267,14090,2664,31248,0,0,0,0,0,0,0,101088,0,0,196510,2765,375143,0,0,0,0,0,3338,0,0,0,0,0,0,8818,0,0,0,3792,0,0,0,0,0,0,0,0,1167,116,0,0,1313,0,1578,0,0,0,3,36794,0,0,0,0,0,5326,0,0,131580,921600
