,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
60adbacc-6c2d-46cb-9e84-533046e0c4d3.jpeg,0,0,4610,10158,0,0,221,42572,1181,0,0,0,0,202466,0,16769,0,470857,0,6394,5472,0,0,789,15204,0,0,842672,0,0,277150,0,54350,0,0,11388,0,0,0,82,0,0,0,0,726,8268,0,1178,3023,0,1313,1290,5447,0,592,371588,0,0,0,0,0,0,0,0,3536,2359296
26b2e80b-aedd-430a-bf6e-457b9c25bdfe.jpeg,0,0,7977,448,0,8148,8877,0,0,0,0,0,0,431621,0,24729,0,403431,0,1750,0,0,0,0,4,1076,0,940588,0,0,154963,0,0,0,0,10508,0,0,0,0,0,0,0,0,301,10303,0,27390,0,0,4,5555,0,0,0,30609,0,1703,0,330,0,1614,0,4623,282744,2359296
b8dd00c8-9b20-465c-a89c-c13b9383e1fa.jpeg,0,0,12325,8106,0,0,11339,0,0,0,0,0,0,262509,0,18813,0,170375,0,0,0,0,0,0,4125,0,0,874416,0,15759,842484,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1613,0,4418,0,859,0,0,0,0,0,11507,0,0,0,0,0,0,0,0,120614,2359296
b72c1521-31e2-4b02-87ef-137917e2ff59.jpeg,0,0,0,1676,0,0,85872,0,0,0,0,0,0,34316,0,5084,0,940561,0,0,0,0,0,0,1849,0,0,287858,53578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,1024,0,0,0,0,0,0,0,0,5660,261897,0,0,0,0,0,0,0,109599,569175,2359296
fd06a9cf-0e9d-4230-86d0-9d384e45b3e9.jpeg,0,0,73444,0,0,521,398093,0,0,0,0,0,0,293236,0,16118,7127,51365,0,0,0,0,0,0,25025,3388,0,591346,0,47245,589460,0,49,0,0,9802,0,0,0,7,0,0,0,0,0,138,0,17355,0,0,0,0,0,0,461,93143,0,0,0,0,0,30711,0,111262,0,2359296
4f062ab6-daad-4930-a9d5-95b5cd39adfd.jpeg,0,0,22328,138556,0,0,35440,0,0,2078,0,0,0,708996,0,0,0,836337,0,5006,0,0,0,0,0,0,14415,253945,0,26050,125007,0,0,0,0,4555,0,0,0,0,0,0,0,0,0,0,0,30805,0,0,0,0,0,0,0,6185,0,0,0,0,0,0,0,5985,143608,2359296
905278e3-1a8f-4f7f-ad20-30e7f8116026.jpeg,0,0,92770,7114,0,1198,4291,70180,0,47979,0,0,0,365475,0,288918,0,851726,0,4059,0,0,0,0,16723,0,0,78386,0,74688,239020,0,0,1997,0,65,0,0,0,42999,0,0,0,0,0,52146,0,0,28,77953,2212,3515,1930,0,0,33924,0,0,0,0,0,0,0,0,0,2359296
fdd19907-186a-4b2a-ba94-7b02b0181736.jpeg,5,0,5869,122058,0,2794,0,0,0,13538,4302,0,0,713621,0,76162,0,68634,0,0,0,0,0,0,1835,0,0,1647061,0,14511,54783,0,0,0,0,5900,0,0,0,0,0,0,0,0,699,16878,3,27175,3118,2632,3967,0,0,0,0,107472,0,0,0,0,0,0,0,0,252711,3145728
69522a8c-5a56-4c87-b2a1-5a534690f235.jpeg,0,0,15984,4146,0,0,0,0,0,0,0,0,0,206195,0,2880,0,947583,0,0,0,0,0,3287,2335,0,0,139902,0,253939,494950,0,0,0,0,5217,0,0,0,4,0,0,0,0,0,1617,0,0,986,0,19,1512,0,0,0,252888,0,0,0,0,0,170,0,25682,0,2359296
4ac8b6f8-be3d-4d60-885f-0fdcb9aec527.jpeg,0,0,13324,12797,0,22,23385,0,0,0,0,0,0,823713,0,25748,0,257154,0,2935,0,8729,0,3676,69744,0,0,310691,0,0,268420,0,0,0,0,1524,0,0,0,5319,0,0,0,0,226,11742,0,1022,1190,12317,1234,174,0,0,0,221070,0,245606,0,0,0,24034,0,0,11452,2357248
c99fa5cb-bde3-45f5-88fd-86d27dfd7823.jpeg,0,0,2094,183954,25,21856,209392,0,0,0,0,0,0,488978,0,5378,27005,60,0,0,0,0,0,0,40717,0,0,721460,0,20280,224267,0,0,0,0,3581,0,0,0,0,0,0,0,0,0,2417,0,1585,0,1,2621,0,0,0,0,77834,0,0,0,8,0,40087,0,0,0,2073600
8963647b-c03f-4842-b511-1ea612fb5f85.jpeg,0,0,12699,0,0,0,0,0,0,0,0,0,0,156995,0,26897,0,164677,0,4631,0,0,0,0,0,0,0,30402,0,7734,1276067,0,0,0,0,3580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,79366,0,856,0,318153,0,3696,0,7127,265915,2359296
aa5805db-be7f-4743-b3b3-ebc8e4769fad.jpeg,0,0,6582,11474,0,41527,2856,0,0,0,858,0,0,267567,0,8481,0,74529,0,0,0,0,0,0,55491,0,0,851843,0,0,119808,0,13457,0,0,0,0,0,0,0,0,0,0,0,502,12062,0,0,0,326,1314,0,0,0,3295,38238,0,0,0,0,0,349,0,0,586593,2097152
ab5daf4e-497f-4b2b-99fd-8ef1c13d975e.jpeg,0,0,0,103146,0,247837,911140,0,0,0,0,0,0,364897,145859,0,0,0,0,0,0,0,0,0,25083,0,0,748765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,42780,0,0,0,0,0,9621,0,0,546237,3145728
4d4429b2-a34e-453f-9659-8b7e7e3f330c.jpeg,0,0,35947,0,0,0,0,0,0,3410,14909,0,0,429825,0,146499,0,1897563,0,13847,0,0,0,0,0,115,0,497021,0,0,17004,0,0,0,0,5383,0,0,0,0,0,0,0,0,58,122,0,0,0,0,685,1542,0,0,157,81641,0,0,0,0,0,0,0,0,0,3145728
068ddfcc-9b31-4322-b00b-ccee1eea58a6.jpeg,0,0,0,128,2824,59797,0,0,0,0,0,0,0,99207,41859,0,241,1013,0,0,0,0,0,0,4175,0,0,362428,0,0,32670,0,0,0,0,0,0,0,0,0,0,0,0,0,240,3270,0,1634,0,0,0,0,0,0,0,1807,0,0,0,0,0,8363,0,0,301944,921600
77e7db79-cb31-4584-ae33-1a18bad93a14.jpeg,0,0,2427,49,0,0,0,0,0,0,0,0,0,203569,0,6318,0,952476,0,5180,0,0,0,0,0,0,0,243154,0,0,71070,0,8059,0,0,57910,0,0,0,0,0,0,0,0,267,35275,0,0,0,0,0,0,2040,0,0,257877,0,0,0,47,0,107206,0,0,120676,2073600
816066c1-1dee-45cb-b5ff-b3ddc34b4d5b.jpeg,0,0,91691,29,0,0,0,0,0,0,0,2329,0,383212,0,0,0,1086029,0,0,0,0,0,0,0,0,0,82134,0,286679,404110,0,0,4817,0,4856,0,0,0,0,0,0,0,0,2471,9946,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359296
8d84dbd5-66c7-49b5-a887-8cfcaaefc6a2.jpeg,0,0,12691,26200,0,0,3610,0,0,0,4113,0,0,486416,0,25809,0,167021,0,0,0,0,0,0,65,0,0,1652236,0,5274,389044,0,0,0,0,66,0,0,0,0,0,0,0,0,1099,1319,0,3262,0,0,476,0,0,0,0,316528,0,0,0,0,0,1976,0,0,48523,3145728
8ea039cd-44c9-4877-af8f-b5108ae7c827.jpeg,0,0,18514,14124,837,449,46318,0,0,0,0,0,0,319445,0,59559,0,45402,0,0,0,0,0,0,7999,0,0,1476708,0,0,749784,0,0,0,42,99,0,0,0,0,0,0,0,0,2251,8958,0,11871,0,1220,548,1402,0,0,0,366128,0,0,0,0,0,0,0,0,14070,3145728
c76a2ac9-5f91-47f8-95f1-2ca7dc730e7e.jpeg,0,0,36407,21046,0,0,31,0,0,0,79977,0,0,629689,0,24800,0,134708,0,2836,0,0,0,0,91925,0,1508,198869,0,67,744930,0,0,0,0,21924,0,0,0,737,0,0,2277,0,2711,27352,0,5398,0,4885,2582,1349,0,0,0,37592,0,0,0,0,0,0,0,0,0,2073600
f28bec1f-4806-4db2-8733-800106f8df46.jpeg,0,0,87695,22193,0,0,0,0,0,2445,0,0,0,158018,0,190009,0,416652,0,0,0,0,0,0,0,0,0,814,0,460445,1767124,0,0,0,0,2895,35539,0,0,0,0,149,0,0,0,0,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,3145728
4e01a3ca-6112-4dd0-9e3f-02d642c648ba.jpeg,0,0,24888,11589,0,0,614,0,0,0,20868,0,0,165880,0,13245,0,26465,0,0,0,0,0,0,0,0,0,411344,0,65834,136750,0,108,0,0,2982,0,0,486,0,0,0,0,0,848,13003,0,647,0,2285,635,942,0,0,7023,13223,0,255,0,0,0,220,23,0,1443,921600
df3d17c2-f4e3-40d3-9bac-7ceaffeeca4a.jpeg,0,0,13665,14566,57381,9818,78,0,0,0,0,0,0,671147,0,0,8258,5610,0,0,0,0,0,0,2612,37191,7951,608168,0,3845,27488,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8208,0,2101,0,4498,0,0,0,0,0,870417,0,0,0,0,0,0,0,6264,0,2359296
78b04db0-93a5-4dbd-86b9-e683a7a95fdd.jpeg,0,0,5499,6038,0,15764,0,0,0,0,0,0,0,469119,0,11958,0,424244,0,6086,0,13193,0,0,0,0,0,468229,0,0,357645,0,4822,0,0,54871,0,0,0,0,0,0,0,0,0,24075,0,6678,286,3805,1744,0,0,0,0,182757,0,16396,0,374,0,0,0,0,17,2073600
0ab35266-5826-4837-a630-8ffc1de49acb.jpeg,0,0,32338,15957,0,7095,60625,0,0,1361,0,0,0,116836,0,98226,0,24970,0,0,0,6273,0,150328,13079,0,0,959316,0,4494,244085,0,0,0,0,1271,0,0,0,0,0,0,0,0,523,10638,0,6987,112,0,0,0,0,0,7623,80603,0,4762,0,0,0,440,0,4231,507123,2359296
2d0e6842-43f4-40bb-b926-fb9049ab04cc.jpeg,0,0,7331,25231,0,0,22328,0,0,880,11452,0,0,300345,0,19890,0,318318,0,0,0,0,0,0,327,0,0,990200,0,0,22450,0,49,0,0,98046,0,0,0,0,0,0,0,0,0,6916,0,50561,0,0,0,0,0,0,0,198759,0,0,0,0,0,4676,0,1947,279590,2359296
ed3302d3-a2d1-406d-9ab0-598afa346877.jpeg,0,0,10480,36316,0,0,33976,0,0,0,59107,0,0,1074474,0,20280,0,233552,0,3373,0,0,0,109,29869,0,0,546110,0,6277,800514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16985,0,0,0,0,9911,0,5,0,0,251268,0,0,0,0,0,226,0,0,12896,3145728
dc8beb4c-744b-4989-b93b-78c126164270.jpeg,0,0,0,0,0,40484,0,0,0,0,0,0,0,566087,2188,0,0,1944,0,0,0,1671,0,0,32627,0,0,567893,0,0,11574,0,0,0,0,0,0,0,0,0,0,0,0,0,153,7127,0,0,0,0,2260,0,0,0,0,172823,0,0,0,0,0,9720,0,116977,540072,2073600
3e35efa6-7257-447b-9148-51cd03daa002.jpeg,0,0,22906,0,0,0,0,0,0,4070,0,0,0,125260,0,172550,0,598423,0,1263,0,0,0,0,6124,0,0,841968,0,0,365021,0,0,0,0,54007,0,0,0,0,0,0,0,0,0,2003,0,15604,10700,259,457,0,0,0,0,46984,0,0,0,0,0,706,0,63700,27291,2359296
7e3146c9-352d-4824-8cb4-718efaddcbcc.jpeg,0,0,9725,122,331,0,1525,0,0,0,0,0,0,188135,22721,0,0,19153,0,0,0,0,0,0,5089,0,0,520958,0,57237,75503,0,0,0,0,1020,0,0,0,0,0,0,0,0,2,1649,0,13,0,222,3133,0,0,0,0,7188,0,0,0,0,447,984,0,85,6358,921600
580b1a45-a774-4359-9178-31f149403eeb.jpeg,0,0,3134,0,0,0,604,0,0,5187,5803,0,0,182329,0,14443,0,219295,0,0,0,0,0,0,48616,0,0,64718,0,0,143637,0,0,0,0,2926,0,0,0,184,0,0,0,0,0,4084,0,0,0,0,713,0,0,0,1451,128773,0,0,0,0,0,1072,0,15388,79243,921600
d159e038-21f1-4d26-8832-085b983194ac.jpeg,0,0,0,0,0,111499,0,0,0,0,0,0,0,652438,15710,0,4814,108750,0,0,0,0,0,0,59225,0,0,700340,0,0,114305,0,3296,0,0,11464,0,0,0,0,0,0,0,0,255,11222,33272,1329,0,3911,1811,0,0,0,0,15813,0,0,0,0,0,2366,0,0,221780,2073600
